会う,あう,5
,あう,5
逢う,あう,5
遭う,あう,5
遇う,あう,5
青,あお,5
蒼,あお,5
碧,あお,5
青い,あおい,5
蒼い,あおい,5
碧い,あおい,5
赤,あか,5
紅,あか,5
朱,あか,5
緋,あか,5
赤い,あかい,5
紅い,あかい,5
朱い,あかい,5
緋い,あかい,5
赭い,あかい,5
丹い,あかい,5
明い,あかるい,5
明るい,あかるい,5
秋,あき,5
開く,あく,5
空く,あく,5
明く,あく,5
開ける,あける,5
空ける,あける,5
明ける,あける,5
上げる,あげる,5
,あげる,5
挙げる,あげる,5
揚げる,あげる,5
朝,あさ,5
朝,あした,5
晨,あした,5
朝御飯,あさごはん,5
朝ご飯,あさごはん,5
朝ごはん,あさごはん,5
,あさって,5
明後日,あさって,5
明後日,みょうごにち,5
足,あし,5
脚,あし,5
肢,あし,5
明日,あした,5
明日,あす,5
明日,みょうにち,5
,あそこ,5
彼処,あそこ,5
,あすこ,5
彼処,あすこ,5
,かしこ,5
彼処,かしこ,5
,あしこ,5
彼処,あしこ,5
,あこ,5
彼処,あこ,5
彼所,あそこ,5
彼所,あすこ,5
彼所,かしこ,5
彼所,あしこ,5
彼所,あこ,5
,アソコ,5
遊ぶ,あそぶ,5
遊ぶ,あすぶ,5
暖かい,あたたかい,5
暖かい,あったかい,5
温かい,あたたかい,5
温かい,あったかい,5
暖い,あたたかい,5
暖い,あったかい,5
頭,あたま,5
頭,かしら,5
新しい,あたらしい,5
新らしい,あたらしい,5
,あちら,5
彼方,あちら,5
彼方,あっち,5
,あち,5
彼方,あち,5
暑い,あつい,5
熱い,あつい,5
厚い,あつい,5
篤い,あつい,5
,あっち,5
後,あと,5
貴方,あなた,5
,あなた,5
貴女,あなた,5
貴男,あなた,5
兄,あに,5
姉,あね,5
姐,あね,5
,あの,5
,あのー,5
,あのう,5
,アパート,5
,あびる,5
浴びる,あびる,5
危ない,あぶない,5
甘い,あまい,5
,あまり,5
余り,あまり,5
,あんまり,5
余り,あんまり,5
餘り,あまり,5
餘り,あんまり,5
雨,あめ,5
飴,あめ,5
洗う,あらう,5
有る,ある,5
,ある,5
在る,ある,5
歩く,あるく,5
,あれ,5
,あれっ,5
,あれえ,5
,あれー,5
,いい,5
良い,よい,5
良い,えい,5
善い,よい,5
善い,えい,5
好い,よい,5
